,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
99,99,1,1,female,59.0,0,0,278.56,C
100,100,1,2,male,,0,0,26.32,Q
101,101,1,1,female,52.0,0,0,11.99,C
102,102,0,3,male,,0,0,7.17,S
103,103,0,2,male,66.0,0,0,20.27,S
104,104,0,1,male,48.0,1,2,124.81,S
105,105,1,3,female,64.0,0,0,6.4,S
106,106,1,3,female,41.0,0,0,13.81,S
107,107,1,1,female,40.0,0,1,28.05,C
108,108,1,1,female,61.0,0,0,296.27,C
109,109,0,1,female,54.0,0,3,170.0,Q
110,110,0,2,male,38.0,0,0,19.98,S
111,111,1,3,male,35.0,0,0,23.05,S
112,112,0,3,female,39.0,0,0,8.29,S
113,113,0,2,male,32.0,0,0,7.43,S
114,114,1,3,female,25.0,0,0,10.56,S
115,115,0,1,male,28.0,1,1,27.81,S
116,116,0,1,female,62.0,0,0,129.79,C
117,117,0,2,male,60.0,0,0,22.56,S
118,118,0,1,female,53.0,0,0,102.26,Q
119,119,1,1,female,55.0,1,0,25.27,C
120,120,0,3,male,68.0,0,0,24.72,S
121,121,0,1,male,34.0,0,0,7.16,S
122,122,0,2,male,65.0,0,0,23.8,
123,123,0,3,male,69.0,0,0,23.15,S
124,124,0,3,male,55.0,1,0,10.4,S
125,125,1,1,female,56.0,0,1,22.36,Q
126,126,1,3,male,6.0,1,2,32.07,S
127,127,1,2,male,34.0,0,0,26.8,S
128,128,0,3,female,49.0,0,0,9.07,S
129,129,1,1,male,28.0,0,0,22.13,S
130,130,1,2,female,27.0,0,1,30.03,C
131,131,1,2,male,57.0,0,1,11.28,S
132,132,1,2,female,35.0,0,0,6.96,S
133,133,0,3,male,6.0,1,0,72.74,S
134,134,1,2,male,40.0,0,0,8.51,S
135,135,0,1,female,54.0,1,2,84.93,Q
136,136,0,3,male,25.0,0,0,9.61,S
137,137,1,1,female,,0,0,56.04,Q
138,138,1,2,female,46.0,0,1,28.58,C
139,139,0,1,male,39.0,1,2,60.76,S
140,140,0,1,male,37.0,1,0,22.3,S
141,141,0,2,female,37.0,0,0,24.79,S
142,142,0,1,male,52.0,1,2,26.28,S
143,143,0,1,male,52.0,1,2,23.01,S
144,144,0,3,female,2.0,1,2,37.14,S
145,145,0,1,male,36.0,0,0,23.31,S
146,146,1,1,female,58.0,0,0,214.02,C
147,147,0,1,male,49.0,2,1,73.2,S
148,148,0,1,male,52.0,1,2,62.41,S
149,149,0,3,male,21.0,0,0,10.77,S
150,150,0,1,female,42.0,1,1,209.71,C
151,151,1,2,female,53.0,0,0,25.21,C
152,152,1,1,female,63.0,0,0,16.6,S
153,153,1,3,female,29.0,0,0,14.1,S
154,154,1,2,male,23.0,0,0,7.74,S
155,155,0,3,male,21.0,1,0,137.11,S
156,156,0,2,male,59.0,4,1,34.21,S
157,157,0,1,female,31.0,0,0,31.55,S
158,158,0,3,male,26.0,0,0,7.42,S
159,159,1,1,female,51.0,0,2,76.1,S
160,160,0,3,female,41.0,0,0,26.05,S
161,161,1,2,female,45.0,1,1,34.1,S
162,162,1,1,female,41.0,0,0,29.9,Q
163,163,0,3,male,29.0,0,0,8.62,S
164,164,1,3,male,49.0,0,0,21.66,S
165,165,1,3,female,62.0,0,0,30.29,C
166,166,1,1,female,55.0,0,0,22.55,Q
167,167,0,3,male,49.0,0,0,10.67,S
168,168,0,3,male,51.0,0,0,29.77,S
169,169,1,3,female,14.0,2,2,26.36,C
170,170,1,3,female,29.0,0,0,28.06,C
171,171,1,1,female,52.0,0,0,33.45,C
172,172,1,2,female,44.0,0,0,12.7,Q
173,173,0,3,male,35.0,0,0,11.03,S
174,174,1,1,female,41.0,0,0,32.92,S
175,175,1,1,female,67.0,4,1,30.74,Q
176,176,1,1,female,22.0,1,2,13.32,C
177,177,0,1,male,24.0,0,0,23.32,S
178,178,1,1,female,52.0,0,0,116.92,C
179,179,0,2,male,23.0,0,1,30.69,S
180,180,0,3,male,30.0,1,0,25.89,S
181,181,1,2,female,27.0,0,0,7.88,C
182,182,0,3,male,56.0,0,0,10.26,S
183,183,0,2,female,,1,0,21.92,Q
184,184,1,2,female,64.0,0,1,29.68,S
185,185,0,3,male,3.0,2,1,35.32,S
186,186,1,2,female,51.0,0,0,34.19,S
187,187,0,3,female,51.0,0,0,5.33,S
188,188,1,2,female,71.0,0,0,63.51,S
189,189,1,1,female,50.0,0,0,29.99,C
190,190,0,3,male,33.0,1,0,10.29,S
191,191,0,1,male,38.0,0,0,8.49,S
192,192,0,1,female,53.0,3,3,56.27,S
193,193,0,1,male,30.0,0,0,26.95,C
194,194,0,2,male,39.0,0,2,11.42,S
195,195,0,3,male,18.0,0,0,10.08,S
196,196,0,1,male,41.0,0,0,23.92,S
197,197,0,3,male,34.0,0,0,28.83,S
198,198,0,3,male,60.0,0,0,8.99,S
199,199,0,3,male,23.0,0,0,8.13,S
200,200,1,2,female,,0,1,29.33,S
201,201,1,3,male,28.0,0,0,26.24,S
202,202,1,1,female,30.0,0,0,12.19,C
203,203,1,2,female,79.0,0,0,28.5,C
204,204,1,3,female,12.0,8,1,12.51,C
205,205,1,3,female,9.0,0,0,13.66,S
206,206,1,2,female,32.0,0,0,28.77,C
207,207,1,1,female,24.0,1,0,217.63,S
208,208,0,1,male,48.0,0,0,72.71,C
209,209,1,2,male,51.0,2,1,20.68,S
210,210,1,1,female,68.0,0,0,8.21,Q
211,211,1,1,female,62.0,3,1,28.75,C
212,212,1,3,male,,1,2,30.33,S
213,213,0,3,male,36.0,0,0,9.56,S
214,214,0,1,female,60.0,1,2,70.35,S
215,215,0,1,male,0.83,1,0,10.53,S
216,216,1,1,female,52.0,0,0,11.48,S
217,217,0,3,male,43.0,0,0,2.37,S
218,218,0,3,male,26.0,1,1,29.39,S
219,219,0,3,male,2.0,1,2,29.76,S
220,220,0,3,male,40.0,0,0,20.95,S
221,221,0,3,female,1.0,1,1,33.86,S
222,222,0,3,female,12.0,2,3,30.19,C
223,223,0,1,male,64.0,0,0,27.77,Q
224,224,0,3,male,27.0,0,0,9.54,S
225,225,1,2,female,31.0,0,0,13.65,Q
226,226,0,3,female,6.0,1,2,10.34,S
227,227,1,2,female,15.0,0,1,10.32,C
228,228,1,3,female,0.5,1,2,33.92,S
229,229,1,3,female,60.0,0,0,6.61,S
230,230,1,1,female,51.0,0,0,241.96,C
231,231,1,2,female,10.0,0,1,29.44,S
232,232,1,3,female,28.0,0,0,29.88,C
233,233,1,2,male,46.0,0,1,24.36,S
234,234,0,2,male,34.0,0,0,8.08,S
235,235,1,1,male,33.0,0,0,27.18,C
236,236,0,1,female,30.0,0,0,104.6,S
237,237,1,1,female,72.0,0,0,29.96,C
238,238,1,2,female,42.0,0,0,31.5,C
239,239,1,2,female,15.0,0,2,35.89,S
240,240,0,3,male,5.0,0,0,14.49,C
241,241,0,1,male,29.0,0,0,29.36,S
242,242,0,2,male,44.0,0,0,7.68,S
243,243,1,2,female,62.0,0,0,8.23,S
244,244,0,3,female,33.0,0,1,33.66,S
245,245,0,3,male,46.0,0,0,62.81,S
246,246,1,1,female,47.0,0,1,31.26,S
247,247,0,3,female,24.5,0,0,10.55,C
248,248,1,3,female,5.0,1,2,88.63,C
249,249,0,3,male,23.0,0,0,8.68,S
250,250,0,3,male,29.0,0,0,25.11,Q
251,251,0,3,male,52.0,0,0,23.69,S
252,252,1,2,male,51.0,0,1,27.17,C
253,253,0,3,female,11.0,3,0,9.87,S
254,254,0,1,male,28.0,0,0,69.47,S
255,255,1,1,female,43.0,0,0,239.46,C
256,256,1,1,male,35.0,1,0,26.79,S
257,257,1,2,female,,0,0,23.4,S
258,258,0,3,male,20.0,0,0,8.89,S
259,259,0,3,male,6.0,0,0,31.35,S
260,260,0,3,male,,0,0,9.5,S
261,261,1,1,female,77.0,1,0,30.98,Q
262,262,1,2,female,,0,1,32.62,S
263,263,0,3,female,40.0,0,0,7.54,C
264,264,0,2,male,42.0,0,0,8.9,S
265,265,0,2,male,5.0,1,1,84.24,S
266,266,0,3,male,26.0,0,0,7.02,
267,267,1,1,female,24.0,0,0,79.6,C
268,268,1,1,male,47.0,0,0,32.46,C
269,269,1,1,female,39.0,0,0,32.28,C
270,270,0,3,female,21.0,0,0,15.75,S
271,271,0,3,male,37.0,2,0,26.71,S
272,272,0,3,male,19.0,0,0,9.83,S
273,273,1,2,female,57.0,0,0,7.75,C
274,274,0,1,male,44.0,0,0,72.07,C
275,275,0,1,male,54.0,1,3,112.09,Q
276,276,0,2,female,56.0,0,0,9.0,S
277,277,0,2,male,41.0,0,2,11.25,S
278,278,0,2,male,27.0,0,0,26.98,S
279,279,0,3,male,61.0,0,0,23.09,S
280,280,0,2,male,8.0,4,1,26.69,S
281,281,0,2,female,54.0,0,0,8.31,Q
282,282,0,2,male,25.0,0,0,7.69,S
283,283,0,2,female,7.0,0,0,9.1,S
284,284,0,3,male,35.0,1,0,8.08,S
285,285,0,3,male,20.0,0,0,9.19,S
286,286,0,3,male,40.0,1,0,9.67,S
287,287,0,2,male,5.0,1,1,31.04,S
288,288,0,3,male,20.0,0,0,9.03,S
289,289,0,1,female,44.0,1,0,136.1,C
290,290,0,2,male,32.0,0,0,6.04,S
291,291,1,1,male,32.0,1,0,115.62,S
292,292,1,2,female,24.0,1,1,68.5,S
293,293,1,1,male,31.0,3,0,75.63,C
294,294,0,3,male,35.0,0,0,9.55,S
295,295,0,2,male,62.0,0,0,9.46,S
296,296,0,1,male,37.0,0,0,35.16,C
297,297,0,3,male,45.0,0,0,6.39,S
298,298,1,2,female,73.0,2,0,29.74,S
299,299,0,1,male,48.0,0,0,30.02,S
300,300,1,1,male,44.0,0,3,24.47,S
301,301,1,3,female,7.0,0,0,29.9,Q
302,302,0,3,male,26.0,0,0,13.14,S
303,303,1,1,male,,2,1,30.56,C
304,304,0,3,male,38.0,0,0,10.41,S
305,305,1,1,female,51.0,0,0,91.55,C
306,306,0,2,male,42.0,0,1,22.47,S
307,307,0,3,male,8.0,0,0,11.24,S
308,308,1,1,male,49.0,0,0,19.24,S
309,309,0,3,male,43.0,0,0,26.59,S
310,310,1,3,male,60.0,1,1,27.56,S
311,311,1,1,female,58.0,1,1,69.68,S
312,312,1,1,female,40.0,0,1,67.98,C
313,313,0,3,male,7.0,2,2,56.84,S
314,314,1,2,female,23.0,0,0,10.06,C
315,315,0,1,female,61.0,0,0,102.65,Q
316,316,0,1,male,28.0,0,0,9.77,S
317,317,0,3,female,27.0,0,0,7.97,S
318,318,1,1,female,57.0,1,0,210.17,Q
319,319,0,3,female,21.0,0,0,10.85,S
320,320,1,3,female,40.0,0,2,25.97,S
321,321,0,3,male,52.0,0,0,6.62,S
322,322,1,1,female,49.0,0,0,260.99,S
323,323,0,3,male,22.0,0,0,9.27,S
324,324,0,3,female,14.0,0,0,10.83,C
325,325,1,3,male,32.0,0,4,30.95,S
326,326,0,1,male,50.0,0,0,29.18,S
327,327,0,2,female,29.0,0,0,15.51,S
328,328,1,3,female,53.0,0,1,12.14,S
329,329,0,1,male,49.0,0,2,187.55,S
330,330,0,2,male,27.0,0,0,20.03,S
331,331,0,1,female,53.0,0,2,78.65,S
332,332,1,3,female,63.0,0,1,27.72,S
333,333,1,2,male,25.0,0,0,10.04,S
334,334,0,3,male,51.0,0,0,7.5,S
335,335,1,2,female,,0,0,25.63,Q
336,336,1,1,female,44.0,0,0,33.11,S
337,337,0,3,male,52.0,0,2,11.23,S
338,338,1,3,female,26.0,0,1,27.45,S
339,339,1,1,male,52.0,0,0,72.35,C
340,340,0,1,male,70.0,0,0,11.0,S
341,341,1,1,female,36.0,0,1,28.73,S
342,342,0,3,male,2.0,0,0,8.16,S
343,343,0,1,female,48.0,1,2,81.98,S
344,344,1,3,female,26.0,0,0,9.69,S
345,345,1,1,male,28.0,1,0,113.42,C
346,346,0,3,male,31.0,0,0,27.56,S
347,347,0,2,male,27.0,0,0,9.89,S
348,348,1,1,male,59.0,0,0,72.21,C
349,349,0,1,male,46.0,1,0,195.8,S
350,350,0,2,female,41.0,0,0,9.11,S
351,351,0,3,female,45.0,4,3,23.8,S
352,352,1,2,female,4.0,1,2,31.34,S
353,353,0,2,female,28.0,0,0,13.15,S
354,354,0,3,male,34.0,0,0,10.53,S
355,355,0,3,male,24.0,0,0,7.47,S
356,356,0,1,female,5.0,0,0,71.09,C
357,357,1,2,female,53.0,0,1,26.67,S
358,358,1,2,female,3.0,2,1,31.65,S
359,359,0,3,male,22.0,0,0,29.18,S
360,360,1,3,female,64.0,0,0,9.39,S
361,361,0,2,male,60.0,0,0,5.84,S
362,362,0,1,male,22.0,1,0,29.86,S
363,363,1,2,male,63.0,0,0,28.27,S
364,364,1,2,female,30.0,0,0,9.95,S
365,365,0,3,male,44.0,0,0,22.09,S
366,366,0,2,male,20.0,0,0,10.01,S
367,367,0,3,male,1.0,1,1,72.48,S
368,368,0,2,male,69.0,0,0,24.78,S
369,369,0,3,male,23.0,4,0,26.02,S
370,370,0,1,male,52.0,0,0,12.15,S
371,371,0,3,male,42.0,2,0,11.62,S
372,372,0,3,female,24.0,0,0,9.18,C
373,373,0,3,male,3.0,1,1,33.07,S
374,374,0,3,male,36.0,0,0,9.15,S
375,375,1,3,female,52.0,0,0,11.34,S
376,376,0,1,male,46.0,0,0,8.68,S
377,377,1,3,male,1.0,1,2,29.53,S
378,378,1,1,male,49.0,1,0,32.82,C
379,379,0,3,male,29.0,0,0,7.41,C
380,380,1,1,male,62.0,0,2,106.06,S
381,381,0,3,male,29.0,0,0,9.47,S
382,382,0,2,male,2.0,1,2,26.79,C
383,383,1,3,female,25.0,1,1,30.98,C
384,384,1,3,female,43.0,0,0,11.57,S
385,385,1,2,female,72.0,0,0,29.58,C
386,386,0,1,female,71.0,0,0,171.25,Q
387,387,0,3,male,63.0,0,0,9.39,S
388,388,1,1,female,50.0,0,1,21.7,C
389,389,1,1,female,55.0,0,0,173.34,Q
390,390,0,3,male,20.0,0,0,9.57,S
391,391,0,3,female,8.0,3,0,8.22,S
392,392,0,3,male,48.0,0,0,5.95,S
393,393,1,2,female,,0,0,29.14,S
394,394,1,3,female,1.0,1,2,26.75,S
395,395,1,2,female,62.0,2,0,12.55,S
396,396,0,1,male,43.0,0,0,66.76,S
397,397,0,1,male,40.0,0,0,7.07,S
398,398,1,2,male,44.0,0,0,22.3,S
399,399,1,2,female,37.0,1,1,28.91,C
400,400,0,3,male,56.0,0,2,29.89,S
401,401,1,2,female,33.0,1,0,28.87,Q
402,402,0,3,male,,1,0,32.14,S
403,403,1,3,female,54.0,2,1,28.21,C
404,404,0,1,male,11.0,0,0,22.89,S
405,405,0,3,female,29.0,0,0,7.5,S
406,406,0,2,male,62.0,0,0,24.11,S
407,407,0,3,male,61.0,0,0,9.12,S
408,408,0,2,male,26.0,0,0,34.66,S
409,409,0,1,female,53.0,1,2,75.08,S
410,410,0,3,male,40.0,0,0,12.51,S
411,411,1,2,female,61.0,0,0,10.66,S
412,412,1,2,female,40.0,0,0,10.2,C
413,413,1,2,female,64.0,0,2,31.74,S
414,414,0,2,male,66.0,0,0,26.43,S
415,415,1,2,female,0.75,1,2,34.37,S
416,416,1,2,male,44.0,0,1,23.88,S
417,417,0,3,male,19.0,0,0,6.44,S
418,418,0,3,male,26.0,0,0,11.94,S
419,419,1,1,male,42.0,0,0,48.17,S
420,420,0,3,male,38.0,0,0,10.09,S
421,421,0,2,female,9.0,0,1,27.61,S
422,422,0,3,male,16.0,0,0,8.68,S
423,423,1,3,male,,0,0,67.38,S
424,424,1,2,female,56.0,0,1,10.76,S
425,425,0,3,male,57.0,0,2,11.33,S
426,426,1,3,female,69.0,0,0,10.19,S
427,427,1,1,male,37.0,0,0,139.39,S
428,428,1,2,female,2.0,1,1,36.51,S
429,429,1,1,female,51.0,0,0,230.75,C
430,430,1,3,female,12.0,3,3,32.65,C
431,431,0,3,male,32.0,0,0,10.03,S
432,432,1,1,female,55.0,0,0,30.78,Q
433,433,0,1,female,68.0,0,2,110.12,Q
434,434,1,2,male,60.0,1,0,25.75,S
435,435,1,3,female,61.0,0,0,29.36,S
436,436,0,3,male,54.0,0,0,26.3,S
437,437,0,3,male,51.0,0,0,7.79,S
438,438,1,3,female,66.0,0,0,69.5,S
439,439,1,1,female,56.0,0,0,12.53,C
440,440,0,2,male,39.0,0,0,26.21,S
441,441,0,3,male,65.0,0,0,23.24,S
442,442,1,3,female,24.0,0,0,9.38,S
443,443,0,3,male,42.0,0,0,12.86,S
444,444,1,1,female,0.5,1,1,32.83,S
445,445,0,3,male,7.0,0,0,12.47,S
446,446,1,1,female,59.0,0,1,78.86,C
447,447,1,2,female,80.0,0,1,30.21,C
448,448,0,3,female,60.0,0,0,8.91,S
449,449,0,3,female,29.0,3,0,10.86,S
450,450,1,1,female,58.0,0,1,479.2,C
451,451,0,3,male,24.0,0,0,11.83,S
452,452,0,3,male,24.0,0,0,8.24,S
453,453,0,3,female,10.0,0,0,28.21,S
454,454,1,1,female,53.0,0,0,93.32,Q
455,455,0,1,male,27.0,1,1,22.69,C
456,456,0,1,male,20.0,2,2,96.52,S
457,457,0,3,male,27.0,1,0,9.94,S
458,458,0,3,male,43.0,0,0,9.52,S
459,459,0,1,male,68.0,0,0,50.29,S
460,460,1,2,female,11.0,0,2,29.17,S
461,461,0,3,male,1.0,1,2,30.65,S
462,462,0,3,male,28.0,0,0,8.25,S
463,463,0,3,female,5.0,1,2,26.57,S
464,464,0,3,male,44.0,0,0,21.7,S
465,465,0,1,female,50.0,0,2,25.24,S
466,466,1,3,female,13.0,0,1,28.66,S
467,467,0,2,male,50.0,0,0,11.68,S
468,468,0,2,male,45.0,0,0,10.75,S
469,469,0,3,female,41.0,0,0,7.05,S
470,470,0,1,male,44.0,1,2,125.78,S
471,471,1,1,female,62.0,0,0,14.18,C
472,472,1,3,female,30.0,0,0,5.26,C
473,473,0,1,female,52.0,2,0,145.04,S
474,474,0,3,male,40.0,2,0,28.45,S
475,475,1,2,male,26.0,2,1,8.43,S
476,476,0,1,male,56.0,1,2,73.44,C
477,477,0,3,male,23.0,0,0,9.23,S
478,478,0,3,male,53.0,0,0,9.99,S
479,479,0,2,male,25.0,0,0,5.12,S
480,480,0,3,male,42.0,0,0,9.93,S
481,481,0,1,male,27.0,0,2,27.33,S
482,482,0,3,female,18.0,0,4,11.66,S
483,483,1,1,male,25.0,2,0,90.57,S
484,484,1,3,female,60.0,0,0,11.32,C
485,485,0,2,male,31.0,1,0,13.33,S
486,486,1,1,female,55.0,1,0,257.47,C
487,487,1,3,male,54.0,0,0,11.15,S
488,488,0,3,male,54.0,2,0,30.04,S
489,489,0,1,female,34.0,0,0,28.63,
490,490,1,1,female,55.0,0,0,24.98,S
491,491,1,2,female,3.0,0,0,37.73,S
492,492,0,1,male,35.0,1,0,26.83,S
493,493,0,3,male,40.0,0,0,9.65,S
494,494,0,1,female,54.0,0,0,93.75,S
495,495,0,3,male,3.0,1,1,31.21,C
496,496,0,3,male,29.0,0,0,13.24,S
497,497,0,2,male,56.0,0,0,8.5,S
498,498,0,2,female,74.0,0,0,16.37,S
499,499,0,1,female,44.0,0,1,75.68,C
500,500,1,1,male,33.0,1,0,564.49,C
501,501,0,1,male,25.0,1,3,56.73,S
502,502,1,1,male,25.0,1,3,28.38,S
503,503,1,1,male,19.0,1,2,30.95,C
504,504,1,1,female,37.0,1,0,79.69,C
505,505,1,3,female,65.0,0,0,28.36,S
506,506,0,2,female,36.0,0,0,13.4,S
507,507,0,2,male,29.0,0,0,33.46,S
508,508,1,2,female,62.0,1,1,33.65,C
509,509,1,2,female,44.0,0,0,8.77,C
510,510,0,2,male,41.0,0,0,7.97,S
511,511,0,3,female,4.0,1,1,32.7,C
512,512,1,3,male,9.0,0,0,8.82,S
513,513,1,2,female,38.0,0,0,30.35,S
514,514,1,1,female,49.0,0,1,9.33,S
515,515,0,2,male,40.0,0,0,7.47,S
516,516,0,3,male,19.0,0,2,27.5,S
517,517,1,1,female,46.0,0,0,318.26,C
518,518,0,3,male,21.0,0,0,12.99,C
519,519,0,3,female,66.0,0,0,12.78,S
520,520,1,2,female,15.0,0,0,9.0,Q
521,521,0,2,male,51.0,0,0,13.4,S
522,522,1,3,male,61.0,0,0,28.1,S
523,523,1,2,female,62.0,0,1,32.05,C
524,524,1,2,female,26.0,0,0,21.63,C
525,525,0,1,female,31.0,0,0,78.26,C
526,526,0,3,male,25.0,0,0,6.66,S
527,527,0,3,male,55.0,0,0,6.09,S
528,528,0,3,male,34.0,0,0,11.75,S
529,529,1,2,female,46.0,0,0,27.82,S
530,530,0,1,male,,1,0,10.47,S
531,531,0,2,female,66.0,1,0,29.48,S
532,532,0,2,male,23.0,0,0,9.43,S
533,533,0,3,male,34.0,2,2,11.57,S
534,534,0,3,male,23.0,0,0,3.32,S
535,535,0,2,male,62.0,0,0,25.5,S
536,536,0,1,male,70.0,1,0,212.25,Q
537,537,1,2,female,48.0,0,0,36.9,C
538,538,0,1,female,1.0,1,2,86.14,S
539,539,0,3,male,24.0,0,0,8.95,S
540,540,1,1,female,22.0,1,1,157.0,C
541,541,0,1,male,66.0,0,1,28.03,Q
542,542,1,2,female,41.0,0,1,19.67,C
543,543,1,2,female,55.0,0,0,18.99,S
544,544,0,2,male,32.0,0,2,11.14,S
545,545,0,2,male,,2,0,242.48,S
546,546,0,2,male,33.0,0,0,30.7,S
547,547,0,2,male,4.0,3,0,28.84,S
548,548,1,1,female,66.0,1,0,81.7,Q
549,549,1,1,female,52.0,1,1,35.27,Q
550,550,0,3,male,20.0,0,0,8.7,Q
551,551,0,2,male,8.0,0,0,28.53,S
552,552,1,1,female,58.0,2,0,12.98,C
553,553,1,1,male,54.0,3,0,25.54,C
554,554,0,3,female,23.0,0,0,12.52,S
555,555,0,3,female,14.0,0,0,15.82,S
556,556,1,3,female,27.0,0,0,5.52,S
557,557,1,1,male,32.0,3,0,31.59,S
558,558,1,1,female,36.0,1,2,29.83,C
559,559,1,2,female,39.0,0,0,30.13,C
560,560,0,3,male,5.0,0,0,11.29,S
561,561,0,3,male,42.0,1,0,9.69,S
562,562,0,3,male,19.0,0,0,8.11,S
563,563,0,3,male,23.0,0,0,11.26,S
564,564,0,3,male,56.0,0,0,22.7,S
565,565,0,3,male,50.0,0,0,9.5,S
566,566,0,3,male,54.0,0,1,8.33,S
567,567,1,2,female,65.0,0,0,8.69,S
568,568,1,1,female,49.0,0,0,29.47,S
569,569,1,2,female,29.0,2,0,21.26,S
570,570,1,2,female,45.0,0,0,32.33,C
571,571,0,3,male,,1,2,11.1,S
572,572,0,3,male,22.0,0,0,8.25,S
573,573,1,2,female,44.0,0,0,16.73,S
574,574,0,2,female,21.0,1,1,34.96,S
575,575,0,3,female,6.0,0,0,6.19,S
576,576,1,1,female,48.0,0,0,68.56,C
577,577,0,3,male,30.0,0,0,10.37,S
578,578,0,3,male,9.0,0,0,10.8,S
579,579,0,3,male,25.0,0,0,5.06,S
580,580,1,1,male,58.0,0,2,69.55,S
