,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
60,1,3,0,39.0,0,0,11.49,0,0,1
61,1,2,1,58.0,0,0,24.39,0,0,1
62,0,2,1,56.0,0,0,71.39,0,0,1
63,0,1,0,36.0,0,2,473.49,1,0,0
64,0,3,1,38.0,0,0,10.69,0,0,1
65,1,2,0,40.0,0,0,24.17,0,0,1
66,1,1,0,5.0,1,0,69.41,1,0,0
67,0,1,1,38.0,1,2,27.7,0,0,1
68,1,1,0,40.0,0,0,92.34,1,0,0
69,0,3,1,21.0,0,0,9.89,0,0,1
70,0,1,1,40.0,3,0,28.44,0,0,1
71,0,2,1,5.0,2,0,29.33,0,0,1
72,0,2,1,56.0,0,0,6.71,0,0,1
73,1,1,0,47.0,0,0,31.72,1,0,0
74,0,3,1,20.0,0,0,7.71,0,0,1
75,1,3,0,27.0,0,0,13.32,0,0,1
76,1,2,0,61.0,0,0,7.87,0,0,1
77,0,3,1,23.0,0,0,5.04,0,0,1
78,1,2,0,67.0,0,0,11.91,1,0,0
79,1,3,0,8.0,0,1,24.84,0,0,1
80,0,2,1,66.0,0,0,7.26,0,0,1
81,0,3,1,60.0,0,0,12.47,0,0,1
82,1,1,0,70.0,0,0,104.43,0,1,0
83,0,3,0,25.0,0,0,13.86,0,0,1
84,0,2,0,11.0,0,0,9.12,0,0,1
85,0,3,1,22.0,0,0,7.11,0,0,1
86,0,2,1,28.0,0,0,5.09,0,0,1
87,0,3,1,39.0,0,0,9.78,0,0,1
88,0,3,1,27.0,0,0,6.04,0,0,1
89,0,1,1,54.0,1,0,21.79,0,0,1
90,1,3,0,54.0,0,0,6.76,1,0,0
91,0,1,1,50.0,1,2,8.82,0,0,1
92,0,3,1,49.0,0,0,5.34,0,0,1
93,0,2,1,39.0,0,0,4.67,0,0,1
94,1,3,0,59.0,0,0,24.93,1,0,0
95,1,2,0,53.0,0,0,32.24,0,0,1
96,1,2,0,28.0,0,0,26.46,0,1,0
97,1,1,0,56.0,0,0,131.28,0,1,0
98,1,2,0,8.0,0,0,27.88,0,0,1
99,1,1,0,59.0,0,0,278.56,1,0,0
100,1,2,1,38.0,0,0,26.32,0,1,0
101,1,1,0,52.0,0,0,11.99,1,0,0
102,0,3,1,38.0,0,0,7.17,0,0,1
103,0,2,1,66.0,0,0,20.27,0,0,1
104,0,1,1,48.0,1,2,124.81,0,0,1
105,1,3,0,64.0,0,0,6.4,0,0,1
106,1,3,0,41.0,0,0,13.81,0,0,1
107,1,1,0,40.0,0,1,28.05,1,0,0
108,1,1,0,61.0,0,0,296.27,1,0,0
109,0,1,0,54.0,0,3,170.0,0,1,0
110,0,2,1,38.0,0,0,19.98,0,0,1
111,1,3,1,35.0,0,0,23.05,0,0,1
112,0,3,0,39.0,0,0,8.29,0,0,1
113,0,2,1,32.0,0,0,7.43,0,0,1
114,1,3,0,25.0,0,0,10.56,0,0,1
115,0,1,1,28.0,1,1,27.81,0,0,1
116,0,1,0,62.0,0,0,129.79,1,0,0
117,0,2,1,60.0,0,0,22.56,0,0,1
118,0,1,0,53.0,0,0,102.26,0,1,0
119,1,1,0,55.0,1,0,25.27,1,0,0
120,0,3,1,68.0,0,0,24.72,0,0,1
121,0,1,1,34.0,0,0,7.16,0,0,1
122,0,2,1,65.0,0,0,23.8,0,0,1
123,0,3,1,69.0,0,0,23.15,0,0,1
124,0,3,1,55.0,1,0,10.4,0,0,1
125,1,1,0,56.0,0,1,22.36,0,1,0
126,1,3,1,6.0,1,2,32.07,0,0,1
127,1,2,1,34.0,0,0,26.8,0,0,1
128,0,3,0,49.0,0,0,9.07,0,0,1
129,1,1,1,28.0,0,0,22.13,0,0,1
130,1,2,0,27.0,0,1,30.03,1,0,0
131,1,2,1,57.0,0,1,11.28,0,0,1
132,1,2,0,35.0,0,0,6.96,0,0,1
133,0,3,1,6.0,1,0,72.74,0,0,1
134,1,2,1,40.0,0,0,8.51,0,0,1
135,0,1,0,54.0,1,2,84.93,0,1,0
136,0,3,1,25.0,0,0,9.61,0,0,1
137,1,1,0,38.0,0,0,56.04,0,1,0
138,1,2,0,46.0,0,1,28.58,1,0,0
139,0,1,1,39.0,1,2,60.76,0,0,1
140,0,1,1,37.0,1,0,22.3,0,0,1
141,0,2,0,37.0,0,0,24.79,0,0,1
142,0,1,1,52.0,1,2,26.28,0,0,1
143,0,1,1,52.0,1,2,23.01,0,0,1
144,0,3,0,2.0,1,2,37.14,0,0,1
145,0,1,1,36.0,0,0,23.31,0,0,1
146,1,1,0,58.0,0,0,214.02,1,0,0
147,0,1,1,49.0,2,1,73.2,0,0,1
148,0,1,1,52.0,1,2,62.41,0,0,1
149,0,3,1,21.0,0,0,10.77,0,0,1
150,0,1,0,42.0,1,1,209.71,1,0,0
151,1,2,0,53.0,0,0,25.21,1,0,0
152,1,1,0,63.0,0,0,16.6,0,0,1
153,1,3,0,29.0,0,0,14.1,0,0,1
154,1,2,1,23.0,0,0,7.74,0,0,1
155,0,3,1,21.0,1,0,137.11,0,0,1
156,0,2,1,59.0,4,1,34.21,0,0,1
157,0,1,0,31.0,0,0,31.55,0,0,1
158,0,3,1,26.0,0,0,7.42,0,0,1
159,1,1,0,51.0,0,2,76.1,0,0,1
160,0,3,0,41.0,0,0,26.05,0,0,1
161,1,2,0,45.0,1,1,34.1,0,0,1
162,1,1,0,41.0,0,0,29.9,0,1,0
163,0,3,1,29.0,0,0,8.62,0,0,1
164,1,3,1,49.0,0,0,21.66,0,0,1
165,1,3,0,62.0,0,0,30.29,1,0,0
166,1,1,0,55.0,0,0,22.55,0,1,0
167,0,3,1,49.0,0,0,10.67,0,0,1
168,0,3,1,51.0,0,0,29.77,0,0,1
169,1,3,0,14.0,2,2,26.36,1,0,0
170,1,3,0,29.0,0,0,28.06,1,0,0
171,1,1,0,52.0,0,0,33.45,1,0,0
172,1,2,0,44.0,0,0,12.7,0,1,0
173,0,3,1,35.0,0,0,11.03,0,0,1
174,1,1,0,41.0,0,0,32.92,0,0,1
175,1,1,0,67.0,4,1,30.74,0,1,0
176,1,1,0,22.0,1,2,13.32,1,0,0
177,0,1,1,24.0,0,0,23.32,0,0,1
178,1,1,0,52.0,0,0,116.92,1,0,0
179,0,2,1,23.0,0,1,30.69,0,0,1
180,0,3,1,30.0,1,0,25.89,0,0,1
181,1,2,0,27.0,0,0,7.88,1,0,0
182,0,3,1,56.0,0,0,10.26,0,0,1
183,0,2,0,38.0,1,0,21.92,0,1,0
184,1,2,0,64.0,0,1,29.68,0,0,1
185,0,3,1,3.0,2,1,35.32,0,0,1
186,1,2,0,51.0,0,0,34.19,0,0,1
187,0,3,0,51.0,0,0,5.33,0,0,1
188,1,2,0,71.0,0,0,63.51,0,0,1
189,1,1,0,50.0,0,0,29.99,1,0,0
190,0,3,1,33.0,1,0,10.29,0,0,1
191,0,1,1,38.0,0,0,8.49,0,0,1
192,0,1,0,53.0,3,3,56.27,0,0,1
193,0,1,1,30.0,0,0,26.95,1,0,0
194,0,2,1,39.0,0,2,11.42,0,0,1
195,0,3,1,18.0,0,0,10.08,0,0,1
196,0,1,1,41.0,0,0,23.92,0,0,1
197,0,3,1,34.0,0,0,28.83,0,0,1
198,0,3,1,60.0,0,0,8.99,0,0,1
199,0,3,1,23.0,0,0,8.13,0,0,1
200,1,2,0,38.0,0,1,29.33,0,0,1
201,1,3,1,28.0,0,0,26.24,0,0,1
202,1,1,0,30.0,0,0,12.19,1,0,0
203,1,2,0,79.0,0,0,28.5,1,0,0
204,1,3,0,12.0,8,1,12.51,1,0,0
205,1,3,0,9.0,0,0,13.66,0,0,1
206,1,2,0,32.0,0,0,28.77,1,0,0
207,1,1,0,24.0,1,0,217.63,0,0,1
208,0,1,1,48.0,0,0,72.71,1,0,0
209,1,2,1,51.0,2,1,20.68,0,0,1
210,1,1,0,68.0,0,0,8.21,0,1,0
211,1,1,0,62.0,3,1,28.75,1,0,0
212,1,3,1,38.0,1,2,30.33,0,0,1
213,0,3,1,36.0,0,0,9.56,0,0,1
214,0,1,0,60.0,1,2,70.35,0,0,1
215,0,1,1,0.83,1,0,10.53,0,0,1
216,1,1,0,52.0,0,0,11.48,0,0,1
217,0,3,1,43.0,0,0,2.37,0,0,1
218,0,3,1,26.0,1,1,29.39,0,0,1
219,0,3,1,2.0,1,2,29.76,0,0,1
220,0,3,1,40.0,0,0,20.95,0,0,1
221,0,3,0,1.0,1,1,33.86,0,0,1
222,0,3,0,12.0,2,3,30.19,1,0,0
223,0,1,1,64.0,0,0,27.77,0,1,0
224,0,3,1,27.0,0,0,9.54,0,0,1
225,1,2,0,31.0,0,0,13.65,0,1,0
226,0,3,0,6.0,1,2,10.34,0,0,1
227,1,2,0,15.0,0,1,10.32,1,0,0
228,1,3,0,0.5,1,2,33.92,0,0,1
229,1,3,0,60.0,0,0,6.61,0,0,1
230,1,1,0,51.0,0,0,241.96,1,0,0
231,1,2,0,10.0,0,1,29.44,0,0,1
232,1,3,0,28.0,0,0,29.88,1,0,0
233,1,2,1,46.0,0,1,24.36,0,0,1
234,0,2,1,34.0,0,0,8.08,0,0,1
235,1,1,1,33.0,0,0,27.18,1,0,0
236,0,1,0,30.0,0,0,104.6,0,0,1
237,1,1,0,72.0,0,0,29.96,1,0,0
238,1,2,0,42.0,0,0,31.5,1,0,0
239,1,2,0,15.0,0,2,35.89,0,0,1
240,0,3,1,5.0,0,0,14.49,1,0,0
241,0,1,1,29.0,0,0,29.36,0,0,1
242,0,2,1,44.0,0,0,7.68,0,0,1
243,1,2,0,62.0,0,0,8.23,0,0,1
244,0,3,0,33.0,0,1,33.66,0,0,1
245,0,3,1,46.0,0,0,62.81,0,0,1
246,1,1,0,47.0,0,1,31.26,0,0,1
247,0,3,0,24.5,0,0,10.55,1,0,0
248,1,3,0,5.0,1,2,88.63,1,0,0
249,0,3,1,23.0,0,0,8.68,0,0,1
250,0,3,1,29.0,0,0,25.11,0,1,0
251,0,3,1,52.0,0,0,23.69,0,0,1
252,1,2,1,51.0,0,1,27.17,1,0,0
253,0,3,0,11.0,3,0,9.87,0,0,1
254,0,1,1,28.0,0,0,69.47,0,0,1
255,1,1,0,43.0,0,0,239.46,1,0,0
256,1,1,1,35.0,1,0,26.79,0,0,1
257,1,2,0,38.0,0,0,23.4,0,0,1
258,0,3,1,20.0,0,0,8.89,0,0,1
259,0,3,1,6.0,0,0,31.35,0,0,1
260,0,3,1,38.0,0,0,9.5,0,0,1
261,1,1,0,77.0,1,0,30.98,0,1,0
262,1,2,0,38.0,0,1,32.62,0,0,1
263,0,3,0,40.0,0,0,7.54,1,0,0
264,0,2,1,42.0,0,0,8.9,0,0,1
265,0,2,1,5.0,1,1,84.24,0,0,1
266,0,3,1,26.0,0,0,7.02,0,0,1
267,1,1,0,24.0,0,0,79.6,1,0,0
268,1,1,1,47.0,0,0,32.46,1,0,0
269,1,1,0,39.0,0,0,32.28,1,0,0
270,0,3,0,21.0,0,0,15.75,0,0,1
271,0,3,1,37.0,2,0,26.71,0,0,1
272,0,3,1,19.0,0,0,9.83,0,0,1
273,1,2,0,57.0,0,0,7.75,1,0,0
274,0,1,1,44.0,0,0,72.07,1,0,0
275,0,1,1,54.0,1,3,112.09,0,1,0
276,0,2,0,56.0,0,0,9.0,0,0,1
277,0,2,1,41.0,0,2,11.25,0,0,1
278,0,2,1,27.0,0,0,26.98,0,0,1
279,0,3,1,61.0,0,0,23.09,0,0,1
280,0,2,1,8.0,4,1,26.69,0,0,1
281,0,2,0,54.0,0,0,8.31,0,1,0
282,0,2,1,25.0,0,0,7.69,0,0,1
283,0,2,0,7.0,0,0,9.1,0,0,1
284,0,3,1,35.0,1,0,8.08,0,0,1
285,0,3,1,20.0,0,0,9.19,0,0,1
286,0,3,1,40.0,1,0,9.67,0,0,1
287,0,2,1,5.0,1,1,31.04,0,0,1
288,0,3,1,20.0,0,0,9.03,0,0,1
289,0,1,0,44.0,1,0,136.1,1,0,0
290,0,2,1,32.0,0,0,6.04,0,0,1
291,1,1,1,32.0,1,0,115.62,0,0,1
292,1,2,0,24.0,1,1,68.5,0,0,1
293,1,1,1,31.0,3,0,75.63,1,0,0
294,0,3,1,35.0,0,0,9.55,0,0,1
295,0,2,1,62.0,0,0,9.46,0,0,1
296,0,1,1,37.0,0,0,35.16,1,0,0
297,0,3,1,45.0,0,0,6.39,0,0,1
298,1,2,0,73.0,2,0,29.74,0,0,1
299,0,1,1,48.0,0,0,30.02,0,0,1
300,1,1,1,44.0,0,3,24.47,0,0,1
301,1,3,0,7.0,0,0,29.9,0,1,0
302,0,3,1,26.0,0,0,13.14,0,0,1
303,1,1,1,38.0,2,1,30.56,1,0,0
304,0,3,1,38.0,0,0,10.41,0,0,1
305,1,1,0,51.0,0,0,91.55,1,0,0
306,0,2,1,42.0,0,1,22.47,0,0,1
307,0,3,1,8.0,0,0,11.24,0,0,1
308,1,1,1,49.0,0,0,19.24,0,0,1
309,0,3,1,43.0,0,0,26.59,0,0,1
310,1,3,1,60.0,1,1,27.56,0,0,1
311,1,1,0,58.0,1,1,69.68,0,0,1
312,1,1,0,40.0,0,1,67.98,1,0,0
313,0,3,1,7.0,2,2,56.84,0,0,1
314,1,2,0,23.0,0,0,10.06,1,0,0
315,0,1,0,61.0,0,0,102.65,0,1,0
316,0,1,1,28.0,0,0,9.77,0,0,1
317,0,3,0,27.0,0,0,7.97,0,0,1
318,1,1,0,57.0,1,0,210.17,0,1,0
319,0,3,0,21.0,0,0,10.85,0,0,1
320,1,3,0,40.0,0,2,25.97,0,0,1
321,0,3,1,52.0,0,0,6.62,0,0,1
322,1,1,0,49.0,0,0,260.99,0,0,1
323,0,3,1,22.0,0,0,9.27,0,0,1
324,0,3,0,14.0,0,0,10.83,1,0,0
325,1,3,1,32.0,0,4,30.95,0,0,1
326,0,1,1,50.0,0,0,29.18,0,0,1
327,0,2,0,29.0,0,0,15.51,0,0,1
328,1,3,0,53.0,0,1,12.14,0,0,1
329,0,1,1,49.0,0,2,187.55,0,0,1
330,0,2,1,27.0,0,0,20.03,0,0,1
331,0,1,0,53.0,0,2,78.65,0,0,1
332,1,3,0,63.0,0,1,27.72,0,0,1
333,1,2,1,25.0,0,0,10.04,0,0,1
334,0,3,1,51.0,0,0,7.5,0,0,1
335,1,2,0,38.0,0,0,25.63,0,1,0
336,1,1,0,44.0,0,0,33.11,0,0,1
337,0,3,1,52.0,0,2,11.23,0,0,1
338,1,3,0,26.0,0,1,27.45,0,0,1
339,1,1,1,52.0,0,0,72.35,1,0,0
340,0,1,1,70.0,0,0,11.0,0,0,1
341,1,1,0,36.0,0,1,28.73,0,0,1
342,0,3,1,2.0,0,0,8.16,0,0,1
343,0,1,0,48.0,1,2,81.98,0,0,1
344,1,3,0,26.0,0,0,9.69,0,0,1
345,1,1,1,28.0,1,0,113.42,1,0,0
346,0,3,1,31.0,0,0,27.56,0,0,1
347,0,2,1,27.0,0,0,9.89,0,0,1
348,1,1,1,59.0,0,0,72.21,1,0,0
349,0,1,1,46.0,1,0,195.8,0,0,1
350,0,2,0,41.0,0,0,9.11,0,0,1
351,0,3,0,45.0,4,3,23.8,0,0,1
352,1,2,0,4.0,1,2,31.34,0,0,1
353,0,2,0,28.0,0,0,13.15,0,0,1
354,0,3,1,34.0,0,0,10.53,0,0,1
355,0,3,1,24.0,0,0,7.47,0,0,1
356,0,1,0,5.0,0,0,71.09,1,0,0
357,1,2,0,53.0,0,1,26.67,0,0,1
358,1,2,0,3.0,2,1,31.65,0,0,1
359,0,3,1,22.0,0,0,29.18,0,0,1
360,1,3,0,64.0,0,0,9.39,0,0,1
361,0,2,1,60.0,0,0,5.84,0,0,1
362,0,1,1,22.0,1,0,29.86,0,0,1
363,1,2,1,63.0,0,0,28.27,0,0,1
364,1,2,0,30.0,0,0,9.95,0,0,1
365,0,3,1,44.0,0,0,22.09,0,0,1
366,0,2,1,20.0,0,0,10.01,0,0,1
367,0,3,1,1.0,1,1,72.48,0,0,1
368,0,2,1,69.0,0,0,24.78,0,0,1
369,0,3,1,23.0,4,0,26.02,0,0,1
370,0,1,1,52.0,0,0,12.15,0,0,1
371,0,3,1,42.0,2,0,11.62,0,0,1
372,0,3,0,24.0,0,0,9.18,1,0,0
373,0,3,1,3.0,1,1,33.07,0,0,1
374,0,3,1,36.0,0,0,9.15,0,0,1
375,1,3,0,52.0,0,0,11.34,0,0,1
376,0,1,1,46.0,0,0,8.68,0,0,1
377,1,3,1,1.0,1,2,29.53,0,0,1
378,1,1,1,49.0,1,0,32.82,1,0,0
379,0,3,1,29.0,0,0,7.41,1,0,0
380,1,1,1,62.0,0,2,106.06,0,0,1
381,0,3,1,29.0,0,0,9.47,0,0,1
382,0,2,1,2.0,1,2,26.79,1,0,0
383,1,3,0,25.0,1,1,30.98,1,0,0
384,1,3,0,43.0,0,0,11.57,0,0,1
385,1,2,0,72.0,0,0,29.58,1,0,0
386,0,1,0,71.0,0,0,171.25,0,1,0
387,0,3,1,63.0,0,0,9.39,0,0,1
388,1,1,0,50.0,0,1,21.7,1,0,0
389,1,1,0,55.0,0,0,173.34,0,1,0
390,0,3,1,20.0,0,0,9.57,0,0,1
391,0,3,0,8.0,3,0,8.22,0,0,1
392,0,3,1,48.0,0,0,5.95,0,0,1
393,1,2,0,38.0,0,0,29.14,0,0,1
394,1,3,0,1.0,1,2,26.75,0,0,1
395,1,2,0,62.0,2,0,12.55,0,0,1
396,0,1,1,43.0,0,0,66.76,0,0,1
397,0,1,1,40.0,0,0,7.07,0,0,1
398,1,2,1,44.0,0,0,22.3,0,0,1
399,1,2,0,37.0,1,1,28.91,1,0,0
400,0,3,1,56.0,0,2,29.89,0,0,1
401,1,2,0,33.0,1,0,28.87,0,1,0
402,0,3,1,38.0,1,0,32.14,0,0,1
403,1,3,0,54.0,2,1,28.21,1,0,0
404,0,1,1,11.0,0,0,22.89,0,0,1
405,0,3,0,29.0,0,0,7.5,0,0,1
406,0,2,1,62.0,0,0,24.11,0,0,1
407,0,3,1,61.0,0,0,9.12,0,0,1
408,0,2,1,26.0,0,0,34.66,0,0,1
409,0,1,0,53.0,1,2,75.08,0,0,1
410,0,3,1,40.0,0,0,12.51,0,0,1
411,1,2,0,61.0,0,0,10.66,0,0,1
412,1,2,0,40.0,0,0,10.2,1,0,0
413,1,2,0,64.0,0,2,31.74,0,0,1
414,0,2,1,66.0,0,0,26.43,0,0,1
415,1,2,0,0.75,1,2,34.37,0,0,1
416,1,2,1,44.0,0,1,23.88,0,0,1
417,0,3,1,19.0,0,0,6.44,0,0,1
418,0,3,1,26.0,0,0,11.94,0,0,1
419,1,1,1,42.0,0,0,48.17,0,0,1
420,0,3,1,38.0,0,0,10.09,0,0,1
421,0,2,0,9.0,0,1,27.61,0,0,1
422,0,3,1,16.0,0,0,8.68,0,0,1
423,1,3,1,38.0,0,0,67.38,0,0,1
424,1,2,0,56.0,0,1,10.76,0,0,1
425,0,3,1,57.0,0,2,11.33,0,0,1
426,1,3,0,69.0,0,0,10.19,0,0,1
427,1,1,1,37.0,0,0,139.39,0,0,1
428,1,2,0,2.0,1,1,36.51,0,0,1
429,1,1,0,51.0,0,0,230.75,1,0,0
430,1,3,0,12.0,3,3,32.65,1,0,0
431,0,3,1,32.0,0,0,10.03,0,0,1
432,1,1,0,55.0,0,0,30.78,0,1,0
433,0,1,0,68.0,0,2,110.12,0,1,0
434,1,2,1,60.0,1,0,25.75,0,0,1
435,1,3,0,61.0,0,0,29.36,0,0,1
436,0,3,1,54.0,0,0,26.3,0,0,1
437,0,3,1,51.0,0,0,7.79,0,0,1
438,1,3,0,66.0,0,0,69.5,0,0,1
439,1,1,0,56.0,0,0,12.53,1,0,0
440,0,2,1,39.0,0,0,26.21,0,0,1
441,0,3,1,65.0,0,0,23.24,0,0,1
442,1,3,0,24.0,0,0,9.38,0,0,1
443,0,3,1,42.0,0,0,12.86,0,0,1
444,1,1,0,0.5,1,1,32.83,0,0,1
445,0,3,1,7.0,0,0,12.47,0,0,1
446,1,1,0,59.0,0,1,78.86,1,0,0
447,1,2,0,80.0,0,1,30.21,1,0,0
448,0,3,0,60.0,0,0,8.91,0,0,1
449,0,3,0,29.0,3,0,10.86,0,0,1
450,1,1,0,58.0,0,1,479.2,1,0,0
451,0,3,1,24.0,0,0,11.83,0,0,1
452,0,3,1,24.0,0,0,8.24,0,0,1
453,0,3,0,10.0,0,0,28.21,0,0,1
454,1,1,0,53.0,0,0,93.32,0,1,0
455,0,1,1,27.0,1,1,22.69,1,0,0
456,0,1,1,20.0,2,2,96.52,0,0,1
457,0,3,1,27.0,1,0,9.94,0,0,1
458,0,3,1,43.0,0,0,9.52,0,0,1
459,0,1,1,68.0,0,0,50.29,0,0,1
460,1,2,0,11.0,0,2,29.17,0,0,1
461,0,3,1,1.0,1,2,30.65,0,0,1
462,0,3,1,28.0,0,0,8.25,0,0,1
463,0,3,0,5.0,1,2,26.57,0,0,1
464,0,3,1,44.0,0,0,21.7,0,0,1
465,0,1,0,50.0,0,2,25.24,0,0,1
466,1,3,0,13.0,0,1,28.66,0,0,1
467,0,2,1,50.0,0,0,11.68,0,0,1
468,0,2,1,45.0,0,0,10.75,0,0,1
469,0,3,0,41.0,0,0,7.05,0,0,1
470,0,1,1,44.0,1,2,125.78,0,0,1
471,1,1,0,62.0,0,0,14.18,1,0,0
472,1,3,0,30.0,0,0,5.26,1,0,0
473,0,1,0,52.0,2,0,145.04,0,0,1
474,0,3,1,40.0,2,0,28.45,0,0,1
475,1,2,1,26.0,2,1,8.43,0,0,1
476,0,1,1,56.0,1,2,73.44,1,0,0
477,0,3,1,23.0,0,0,9.23,0,0,1
478,0,3,1,53.0,0,0,9.99,0,0,1
479,0,2,1,25.0,0,0,5.12,0,0,1
480,0,3,1,42.0,0,0,9.93,0,0,1
481,0,1,1,27.0,0,2,27.33,0,0,1
482,0,3,0,18.0,0,4,11.66,0,0,1
483,1,1,1,25.0,2,0,90.57,0,0,1
484,1,3,0,60.0,0,0,11.32,1,0,0
485,0,2,1,31.0,1,0,13.33,0,0,1
486,1,1,0,55.0,1,0,257.47,1,0,0
487,1,3,1,54.0,0,0,11.15,0,0,1
488,0,3,1,54.0,2,0,30.04,0,0,1
489,0,1,0,34.0,0,0,28.63,0,0,1
490,1,1,0,55.0,0,0,24.98,0,0,1
491,1,2,0,3.0,0,0,37.73,0,0,1
492,0,1,1,35.0,1,0,26.83,0,0,1
493,0,3,1,40.0,0,0,9.65,0,0,1
494,0,1,0,54.0,0,0,93.75,0,0,1
495,0,3,1,3.0,1,1,31.21,1,0,0
496,0,3,1,29.0,0,0,13.24,0,0,1
497,0,2,1,56.0,0,0,8.5,0,0,1
498,0,2,0,74.0,0,0,16.37,0,0,1
499,0,1,0,44.0,0,1,75.68,1,0,0
500,1,1,1,33.0,1,0,564.49,1,0,0
501,0,1,1,25.0,1,3,56.73,0,0,1
502,1,1,1,25.0,1,3,28.38,0,0,1
503,1,1,1,19.0,1,2,30.95,1,0,0
504,1,1,0,37.0,1,0,79.69,1,0,0
505,1,3,0,65.0,0,0,28.36,0,0,1
506,0,2,0,36.0,0,0,13.4,0,0,1
507,0,2,1,29.0,0,0,33.46,0,0,1
508,1,2,0,62.0,1,1,33.65,1,0,0
509,1,2,0,44.0,0,0,8.77,1,0,0
510,0,2,1,41.0,0,0,7.97,0,0,1
511,0,3,0,4.0,1,1,32.7,1,0,0
512,1,3,1,9.0,0,0,8.82,0,0,1
513,1,2,0,38.0,0,0,30.35,0,0,1
514,1,1,0,49.0,0,1,9.33,0,0,1
515,0,2,1,40.0,0,0,7.47,0,0,1
516,0,3,1,19.0,0,2,27.5,0,0,1
517,1,1,0,46.0,0,0,318.26,1,0,0
518,0,3,1,21.0,0,0,12.99,1,0,0
519,0,3,0,66.0,0,0,12.78,0,0,1
520,1,2,0,15.0,0,0,9.0,0,1,0
521,0,2,1,51.0,0,0,13.4,0,0,1
522,1,3,1,61.0,0,0,28.1,0,0,1
523,1,2,0,62.0,0,1,32.05,1,0,0
524,1,2,0,26.0,0,0,21.63,1,0,0
525,0,1,0,31.0,0,0,78.26,1,0,0
526,0,3,1,25.0,0,0,6.66,0,0,1
527,0,3,1,55.0,0,0,6.09,0,0,1
528,0,3,1,34.0,0,0,11.75,0,0,1
529,1,2,0,46.0,0,0,27.82,0,0,1
530,0,1,1,38.0,1,0,10.47,0,0,1
531,0,2,0,66.0,1,0,29.48,0,0,1
532,0,2,1,23.0,0,0,9.43,0,0,1
533,0,3,1,34.0,2,2,11.57,0,0,1
